MRT,latitude,longitude
Jurong East,1.33315281585758,103.742286332403
Bukit Batok,1.34903534800639,103.749526027989
Bukit Gombak,1.35871216207818,103.751883836125
Choa Chu Kang,1.38536316540225,103.744370779756
Yew Tee,1.39757979021386,103.747459490883
Kranji,1.42508698073648,103.762137459497
Marsiling,1.43252114855026,103.774074641403
Woodlands,1.43605761708128,103.787938777173
Admiralty,1.44058856161847,103.800990519771
Sembawang,1.44905082158502,103.820046140211
Canberra,1.44307664075699,103.829702590959
Yishun,1.42944308477331,103.835005047246
Khatib,1.41738337009565,103.832979908243
Yio Chu Kang,1.38149882492597,103.845170704861
Ang Mo Kio,1.36993284962264,103.849558091776
Bishan,1.35131580146658,103.84914026532
Braddell,1.3404690010277,103.846799083148
Toa Payoh,1.33259672794159,103.847577286075
Novena,1.32044079120154,103.843825618748
Newton,1.3123189224097,103.837984594021
Orchard,1.30242224836722,103.823868523249
Somerset,1.30026416739006,103.839085753124
Dhoby Ghaut,1.29870132536119,103.846113677951
City Hall,1.29293672227779,103.852585580366
Raffles Place,1.28393326234538,103.851463066212
Marina Bay,1.27642735476716,103.854597776754
Marina South Pier,1.27102703612006,103.862447515736
Pasir Ris,1.37300805046319,103.949265083922
Tampines,1.34551530560119,103.938436971222
Simei,1.34319707851829,103.953377214378
Tanah Merah,1.32701524290982,103.946155931882
Bedok,1.32040148729112,103.957183823478
Kembangan,1.3210381335934,103.912947930851
Eunos,1.31978354916088,103.903225807255
Paya Lebar,1.3172473854035,103.892260753884
Aljunied,1.3164326118157,103.882906044385
Kallang,1.31148890998818,103.871386541754
Lavender,1.30737781747063,103.862767633888
Bugis,1.30046508509717,103.855706730933
City Hall,1.29293672227779,103.852585580366
Raffles Place,1.28393326234538,103.851463066212
Tanjong Pagar,1.27660353980916,103.845961652831
Outram Park,1.27973970679335,103.839513521005
Tiong Bahru,1.28610253588403,103.827445112691
Redhill,1.28963453412887,103.81674097205
Queenstown,1.29455085184931,103.806077155982
Commonwealth,1.30250199924325,103.798228523336
Buona Vista,1.3072237082044,103.790253514502
Dover,1.31140529320963,103.778637841909
Clementi,1.31511625277378,103.765191452888
Jurong East,1.33315281585758,103.742286332403
Chinese Garden,1.34235282081401,103.732596738363
Lakeside,1.34425911493819,103.720949087456
Boon Lay,1.33853090899411,103.705911300383
Pioneer,1.33758701106708,103.697321608474
Joo Koon,1.32769436492908,103.678085068438
Gul Circle,1.31947090075208,103.660530461345
Tuas Crescent,1.32102695598684,103.649078235627
Tuas West Road,1.32998504653102,103.639616648771
Tuas Link,1.34088242451105,103.636991425128
Expo,1.33538252614956,103.962374747451
Changi Airport,1.35747897447692,103.98788356959
HarbourFront,1.26538938374901,103.821530157095
Outram Park,1.27973970679335,103.839513521005
Chinatown,1.28422391919085,103.845143798953
Clarke Quay,1.28871023151727,103.846610945684
Dhoby Ghaut,1.29870132536119,103.846113677951
Little India,1.3072888243648,103.849922418455
Farrer Park,1.31314029963164,103.854754721344
Boon Keng,1.31993957653291,103.862052698446
Potong Pasir,1.33128580390245,103.86902783214
Woodleigh,1.33919004519388,103.87081830915
Serangoon,1.35063361526525,103.872771660431
Kovan,1.36017917065237,103.885064856353
Hougang,1.37129226620797,103.892380513029
Buangkok,1.38287001971672,103.893122569706
Sengkang,1.39169462601522,103.895484694279
Punggol,1.41492733388605,103.910166388177
Dhoby Ghaut,1.29870132536119,103.846113677951
Bras Basah,1.2967526221395,103.850918752694
Esplanade,1.2936577245386,103.855081226245
Promenade,1.29399798636232,103.860350000188
Nicoll Highway,1.29976684675139,103.86363696572
Stadium,1.3028124684707,103.875337711089
Mountbatten,1.30620190525331,103.882528081052
Dakota,1.30854798388121,103.889064718377
Paya Lebar,1.3172473854035,103.892260753884
MacPherson,1.32615024457361,103.889298600376
Tai Seng,1.33514564170352,103.888336109832
Bartley,1.34250117805245,103.880177899184
Serangoon,1.35063361526525,103.872771660431
Lorong Chuan,1.35163927757418,103.863945738773
Bishan,1.35131580146658,103.84914026532
Marymount,1.348707263451,103.839423132332
Caldecott,1.33724561271722,103.840161782075
Botanic Gardens,1.32211373558877,103.814984510627
Farrer Road,1.31743915158967,103.807379214161
Holland Village,1.31224029631595,103.796399122407
Buona Vista,1.3072237082044,103.790253514502
one-north,1.29973599364922,103.787472120061
Kent Ridge,1.29356390505771,103.784569394529
Haw Par Villa,1.28195688684898,103.781988990137
Pasir Panjang,1.27621352233766,103.791350313288
Labrador Park,1.27225417749656,103.802631578766
Telok Blangah,1.27070647772509,103.809761611219
HarbourFront,1.26538938374901,103.821530157095
Bayfront,1.28187378879209,103.859079764874
Marina Bay,1.27642735476716,103.854597776754
Bukit Panjang,1.37956121236613,103.761188866252
Cashew,1.36981544925552,103.76443921414
Hillview,1.36234486803558,103.767418254007
Beauty World,1.34090149001429,103.775746717778
King Albert Park,1.335893496278,103.783235863233
Sixth Avenue,1.33096058134451,103.796969279733
Tan Kah Kee,1.32639224146351,103.806548201692
Botanic Gardens,1.32211373558877,103.814984510627
Stevens,1.32006555750626,103.826024401924
Newton,1.3123189224097,103.837984594021
Little India,1.3072888243648,103.849922418455
Rochor,1.30385218527656,103.852769428884
Bugis,1.30046508509717,103.855706730933
Promenade,1.29399798636232,103.860350000188
Bayfront,1.28187378879209,103.859079764874
Downtown,1.27944638178916,103.852840829581
Telok Ayer,1.28206894769394,103.848648781083
Chinatown,1.28422391919085,103.845143798953
Fort Canning,1.29248194822996,103.844331362465
Bencoolen,1.29891843369422,103.850353762717
Jalan Besar,1.3051713878069,103.855295713435
Bendemeer,1.31367252847691,103.862977620945
Geylang Bahru,1.32130110228321,103.871622627142
Mattar,1.32687671501334,103.883247509542
MacPherson,1.32615024457361,103.889298600376
Ubi,1.32997425973974,103.899226655439
Kaki Bukit,1.33503853739157,103.908775991205
Bedok North,1.33474211664091,103.91797832995
Bedok Reservoir,1.33660782955099,103.932234623286
Tampines West,1.3456336579777,103.938492495285
Tampines,1.34551530560119,103.938436971222
Tampines East,1.35619148271544,103.9546344625
Upper Changi,1.34173977444995,103.961472788634
Expo,1.33538252614956,103.962374747451
Woodlands North,1.44778217342648,103.7851355073
Woodlands,1.43605761708128,103.787938777173
Woodlands South,1.42748811362716,103.792729941333
